ФИО,Группа крови,Любимая еда,Наличие публикаций,Наличие золотой медали,Участие в олимпиадах НИУ ВШЭ,Мотивационное письмо,Мечта,Участие в подготовительных курсах НИУ ВШЭ,Частота прогулок,Участие во всероссийских олимпиадах,Хобби,Средний балл ЕГЭ,Участие в волонтерской деятельности,Средний балл аттестата,Любимый цвет,Наличие питомца,Target
Соколова Алёна Алексеевна,III,Пицца,Да,-,Нет,5,Карьерный рост,Нет,Редко,Да,Туризм,99,Нет,4.927890061967441,Зеленый,Да,1
Новиков Юрий Максимович,III,Суши,-,Да,-,3,Карьерный рост,-,Несколько раз в неделю,Да,Чтение,48,Нет,4.534654393299835,Зеленый,Нет,1
Сидорова Мария Алексеевна,III,Салат,Да,Нет,Нет,3,Бизнес,Да,Редко,Нет,Музыка,90,Нет,4.373045127841995,Красный,Да,0
Сидоров Егор Ильич,II,Роллы,Нет,Нет,-,4,Карьерный рост,Да,Несколько раз в неделю,Нет,Спортивные игры,78,Нет,4.282503118094083,Синий,Да,0
Федорова Юлия Юрьевна,I,Роллы,Нет,Нет,Да,4,Наука,Да,Ежедневно,-,Чтение,43,-,4.833183405690177,Зеленый,Да,0
Михайлов Олег Константинович,III,Бургер,Да,Да,Да,0,Семья,Нет,Ежедневно,Нет,Чтение,76,Да,4.917880382822355,Желтый,Да,1
Иванова Полина Сергеевна,IV,Пицца,Нет,Да,Да,1,Семья,Да,Ежедневно,Да,Музыка,63,Нет,4.0718171013294935,Желтый,Да,1
Соловьева Виктория Максимовна,IV,Пицца,Нет,Да,Нет,5,Карьерный рост,Нет,Редко,Нет,Туризм,45,Нет,4.100454345886242,Синий,Нет,0
Иванов Андрей Павлович,IV,Суши,-,-,Нет,5,Бизнес,Нет,Несколько раз в неделю,Нет,Чтение,84,Да,4.244484115071361,Синий,Нет,0
Зайцев Николай Георгиевич,II,Суши,Да,Нет,Да,5,Путешествия,Нет,Несколько раз в неделю,Да,Туризм,86,Нет,4.832193691739392,Красный,Нет,1
Лебедев Вячеслав Иванович,II,Салат,Да,Нет,Нет,5,Бизнес,Нет,Редко,Нет,Музыка,50,Нет,4.980939865125413,Зеленый,Нет,0
Григорьева Ольга Николаевна,III,Пицца,Да,Нет,Да,2,Путешествия,Да,Редко,Нет,Кино,73,-,4.167572395761361,Красный,Да,1
Морозова Татьяна Николаевна,IV,Пицца,-,Нет,Нет,4,Карьерный рост,Да,Несколько раз в неделю,Нет,Музыка,68,Да,4.799122231768349,Желтый,Нет,0
Романов Вячеслав Вячеславович,II,Салат,Нет,Да,-,4,Карьерный рост,Нет,Ежедневно,Нет,Спортивные игры,87,Нет,4.483105630837176,Зеленый,Да,1
Лебедева Зоя Алексеевна,II,Суши,Да,Нет,Нет,0,Карьерный рост,Нет,Редко,Да,Туризм,80,Да,4.09376525929195,Желтый,Да,0
Кузнецов Иван Викторович,I,Бургер,Нет,Да,Да,2,Бизнес,Да,Несколько раз в неделю,Да,Спортивные игры,62,Нет,4.066869143636714,Зеленый,Нет,1
Зайцева Надежда Романовна,I,Салат,-,Нет,Нет,4,Карьерный рост,Нет,Редко,Да,Спортивные игры,83,Нет,4.985205495511291,Красный,Нет,0
Федорова Людмила Алексеевна,II,Роллы,-,Нет,-,3,Бизнес,Да,Ежедневно,Да,Кино,77,Да,4.832845466996503,Зеленый,Нет,1
Григорьев Максим Андреевич,IV,Салат,Нет,Нет,Нет,1,Семья,Да,Редко,-,Музыка,47,Да,4.495810750535362,Зеленый,Да,0
Петрова Дарья Андреевна,III,Суши,Нет,Нет,Нет,0,Наука,Нет,Редко,Нет,Спортивные игры,61,Нет,4.041003166329586,Синий,Да,0
Петров Олег Алексеевич,III,Роллы,Нет,Нет,Да,5,Наука,Нет,Ежедневно,Нет,Чтение,66,-,4.233013702409081,Зеленый,Нет,0
Васильев Антон Константинович,I,Суши,Да,Да,Нет,3,Путешествия,Нет,Ежедневно,Да,Кино,72,Да,4.604984434009898,Черный,Нет,1
Зайцева Надежда Дмитриевна,III,Пицца,Нет,Нет,Да,4,Путешествия,Да,Ежедневно,Да,Чтение,51,Да,4.275011342048395,Синий,Нет,1
Зайцев Егор Антонович,IV,Салат,Да,Да,Да,2,Карьерный рост,Нет,Несколько раз в неделю,Нет,Спортивные игры,78,Да,4.249466994484987,Черный,Нет,1
Сидоров Илья Иванович,III,Пицца,Нет,Да,Нет,4,Бизнес,Да,Ежедневно,Да,Спортивные игры,65,Да,4.640375609495001,Красный,Нет,1
Волков Николай Максимович,II,Пицца,Да,Да,Да,4,Карьерный рост,Нет,Ежедневно,Нет,Туризм,55,Да,4.245160901522071,Зеленый,Нет,1
Смирнова Виктория Константиновна,II,Салат,Нет,Нет,Нет,1,Бизнес,Нет,Несколько раз в неделю,-,Туризм,48,Да,4.082924635416056,Черный,Нет,0
Борисов Владимир Павлович,III,Роллы,-,Нет,Да,0,Наука,Нет,Ежедневно,Да,Спортивные игры,74,Да,4.871435060263925,Красный,Нет,1
Иванова Алёна Викторовна,II,Суши,-,Нет,Да,5,Карьерный рост,Нет,Несколько раз в неделю,Нет,Кино,56,-,4.045203881203558,Синий,Нет,0
Григорьева Ольга Константиновна,IV,Пицца,Да,Да,Нет,1,Карьерный рост,Нет,Редко,-,Кино,88,Нет,4.755671254143624,Черный,Нет,1
Борисова Елена Олеговна,III,Бургер,Нет,Да,Нет,0,Путешествия,-,Редко,Да,Туризм,65,Да,4.7195680790280266,Синий,Нет,0
Романов Юрий Сергеевич,I,Роллы,Да,Да,Да,4,Бизнес,Нет,Редко,Да,Туризм,98,-,4.138876881180573,Зеленый,Да,1
Иванова Светлана Викторовна,II,Пицца,Да,Нет,Да,3,Бизнес,Да,Редко,Да,Спортивные игры,97,Нет,4.524255794268007,Желтый,Нет,1
Сидоров Иван Егорович,IV,Бургер,Нет,Да,Да,4,Семья,Нет,Несколько раз в неделю,-,Спортивные игры,78,Да,4.622434117653757,Зеленый,Нет,1
Попов Алексей Романович,III,Пицца,Да,Да,Да,2,Путешествия,Да,Ежедневно,Да,Чтение,95,Да,4.352948567748795,Желтый,Да,1
Григорьева Екатерина Юрьевна,IV,Пицца,Нет,Да,Да,1,Семья,Нет,Ежедневно,Нет,Туризм,56,Нет,4.260845781166943,Зеленый,Да,0
Федорова Вероника Павловна,I,Суши,Нет,-,Да,4,Семья,Да,Ежедневно,Нет,Спортивные игры,71,Да,4.529788186432259,Красный,Нет,1
Федорова Вероника Романовна,I,Суши,Нет,Нет,Нет,5,Бизнес,Да,Редко,Нет,Кино,41,Нет,4.97596141324914,Желтый,Да,0
Михайлова Надежда Олеговна,IV,Роллы,Да,Нет,Да,1,Путешествия,-,Редко,Да,Спортивные игры,87,Да,4.628952861814091,Желтый,Нет,1
Попов Георгий Артурович,IV,Пицца,Нет,Да,Нет,4,Карьерный рост,Да,Редко,Нет,Туризм,65,Нет,4.512782353212304,Черный,Да,0
Борисов Юрий Дмитриевич,II,Салат,Нет,Нет,Да,1,Семья,Нет,Редко,Да,Туризм,77,-,4.689286559693984,Синий,Нет,1
Соколова Вероника Вячеславовна,I,Пицца,-,Нет,Нет,1,Карьерный рост,Нет,Редко,-,Кино,72,-,4.361061428768111,Желтый,Да,0
Лебедев Сергей Артурович,IV,Бургер,Нет,Да,Да,0,Семья,Нет,Несколько раз в неделю,Нет,Туризм,54,Нет,4.059999092075091,Красный,Да,0
Федоров Илья Владимирович,III,Роллы,-,Да,Да,1,Семья,Да,Несколько раз в неделю,Да,Музыка,94,Нет,4.899006969598599,Черный,Да,1
Федорова Ольга Владимировна,III,Бургер,Нет,Да,Да,2,Бизнес,Да,Ежедневно,Нет,Кино,96,Да,4.572546910035118,Черный,Нет,1
Кузнецова Людмила Константиновна,IV,Салат,Нет,-,Да,0,Карьерный рост,Нет,Редко,Нет,Кино,92,Нет,4.690181994788684,Синий,Нет,0
Кузнецов Георгий Артурович,III,Суши,Нет,Нет,Нет,2,Путешествия,Нет,Ежедневно,Да,Музыка,81,Нет,4.743526207118065,Зеленый,Да,0
Михайлов Илья Егорович,III,Бургер,Да,Да,Нет,2,Карьерный рост,Да,Редко,Нет,Чтение,50,Да,4.138036384955593,Черный,Да,0
Михайлов Иван Иванович,I,Бургер,Нет,Да,Нет,5,Карьерный рост,-,Несколько раз в неделю,Нет,Туризм,43,Да,4.579634222250361,Красный,Да,0
Соколов Константин Романович,I,Роллы,Да,Нет,Нет,1,Семья,Да,Редко,Да,Чтение,89,Да,4.0744229043171005,Синий,Нет,1
Борисов Павел Романович,III,Салат,Нет,Да,Нет,4,Бизнес,Нет,Ежедневно,-,Кино,85,Нет,4.988990630184649,Синий,Нет,0
Новикова Алиса Константиновна,II,Роллы,Да,Да,Нет,2,Бизнес,Нет,Несколько раз в неделю,-,Музыка,79,Да,4.795005972290695,Желтый,Нет,0
Кузнецов Владимир Дмитриевич,IV,Пицца,Да,Нет,Да,5,Путешествия,Нет,Редко,-,Чтение,82,Да,4.569065840657104,Черный,Нет,1
Григорьев Виктор Сергеевич,I,Пицца,Нет,Нет,Нет,0,Путешествия,Да,Редко,Нет,Кино,86,Нет,4.743946820457581,Синий,Нет,0
Лебедева Валерия Максимовна,II,Роллы,Нет,Нет,Нет,1,Семья,-,Редко,Нет,Спортивные игры,70,-,4.130352717700264,Зеленый,Да,0
Новиков Антон Алексеевич,IV,Бургер,Да,Нет,Нет,5,Карьерный рост,Да,Редко,Да,Кино,44,Нет,4.694296232114536,Черный,Нет,0
Борисова Алёна Сергеевна,III,Роллы,Нет,Да,Да,5,Семья,Нет,Редко,Нет,Спортивные игры,61,Нет,4.366294682846851,Зеленый,Нет,0
Соловьев Георгий Георгиевич,IV,Роллы,Да,Нет,Да,4,Семья,Нет,Несколько раз в неделю,Нет,Чтение,69,Нет,4.0719573404902665,Красный,Да,0
Федорова Полина Георгиевна,I,Бургер,Да,Да,Да,4,Бизнес,Да,Несколько раз в неделю,Нет,Кино,56,Нет,4.642369598097094,Черный,Да,1
Соловьева Елена Андреевна,III,Роллы,Да,Да,Нет,2,Путешествия,-,Редко,Да,Музыка,42,Нет,4.278110330173296,Синий,Нет,0
Петров Георгий Дмитриевич,II,Пицца,Нет,Нет,-,2,Карьерный рост,Да,Несколько раз в неделю,Да,Музыка,83,Нет,4.328595492229843,Синий,Да,0
Федоров Сергей Олегович,III,Пицца,Нет,Да,Нет,3,Карьерный рост,-,Редко,Нет,Спортивные игры,97,Нет,4.4905675851025695,Черный,Нет,0
Морозова Ксения Ильинична,III,Суши,Да,Нет,Да,4,Наука,Нет,Редко,Нет,Кино,66,Нет,4.342914160332182,Синий,Нет,0
Попов Сергей Юрьевич,I,Бургер,Да,-,Нет,5,Путешествия,Нет,Ежедневно,Да,Музыка,48,Нет,4.7017292452348425,Желтый,Нет,0
Соловьев Роман Максимович,I,Салат,Нет,Нет,-,1,Путешествия,Нет,Ежедневно,Нет,Спортивные игры,91,Да,4.450584012039189,Синий,Нет,0
Попова Алёна Юрьевна,IV,Салат,Нет,Нет,-,3,Путешествия,Нет,Ежедневно,Да,Музыка,74,Нет,4.187943025928883,Синий,Нет,0
Козлова Ксения Егоровна,IV,Бургер,Да,Да,Да,3,Семья,-,Несколько раз в неделю,Нет,Туризм,53,Да,4.749514566411694,Зеленый,Нет,1
Лебедев Олег Владимирович,III,Салат,Нет,Да,Да,4,Путешествия,Нет,Несколько раз в неделю,Нет,Музыка,43,Нет,4.630747165294991,Синий,Да,0
Васильева Вероника Константиновна,III,Бургер,Нет,Да,Да,5,Карьерный рост,Да,Редко,Нет,Чтение,80,Нет,4.268736201414496,Желтый,Нет,1
Романов Олег Максимович,II,Суши,Нет,Да,Да,3,Путешествия,Нет,Редко,Нет,Кино,84,-,4.032064701189933,Зеленый,Да,0
Морозова Алёна Николаевна,II,Пицца,Да,-,Нет,4,Бизнес,Нет,Ежедневно,Да,Туризм,42,Да,4.733569829193723,Черный,Да,1
Новикова Полина Владимировна,III,Суши,Нет,Нет,Нет,2,Наука,Нет,Редко,Нет,Музыка,93,Нет,4.109944871916106,Синий,Да,0
Федорова Ксения Юрьевна,III,Салат,Да,Нет,-,5,Наука,Нет,Несколько раз в неделю,-,Спортивные игры,84,Да,4.783377954255826,Красный,Да,1
Зайцев Павел Вячеславович,II,Бургер,-,Нет,Да,5,Путешествия,-,Редко,Нет,Спортивные игры,47,Да,4.532880776031387,Синий,Нет,0
Борисова Зоя Константиновна,III,Пицца,Нет,Да,Нет,3,Семья,Да,Несколько раз в неделю,Да,Музыка,81,Да,4.718236235368127,Черный,Да,1
Козлова Виктория Николаевна,IV,Пицца,Да,Да,Да,0,Наука,Нет,Ежедневно,Нет,Туризм,63,-,4.626585216970018,Красный,Нет,0
Михайлов Вячеслав Сергеевич,I,Бургер,Нет,Да,Да,2,Путешествия,Нет,Редко,Да,Музыка,99,Да,4.0538581427318094,Синий,Да,1
Новиков Егор Павлович,I,Суши,Нет,Нет,Нет,2,Бизнес,Да,Редко,Нет,Чтение,82,Нет,4.680108858945727,Синий,Нет,0
Федорова Ирина Андреевна,IV,Пицца,Да,Нет,-,2,Карьерный рост,Нет,Ежедневно,Нет,Музыка,53,Нет,4.149926357106796,Черный,Нет,0
Михайлов Роман Егорович,I,Роллы,Нет,Нет,Нет,4,Семья,Нет,Ежедневно,Нет,Кино,70,Нет,4.286097565485531,Зеленый,Да,0
Лебедева Ирина Константиновна,III,Бургер,Нет,Да,Да,1,Бизнес,Нет,Редко,Нет,Музыка,47,Нет,4.129449344722138,Зеленый,Да,0
Петров Артур Владимирович,I,Салат,Нет,Да,-,2,Карьерный рост,-,Редко,Да,Чтение,43,Нет,4.238286353944599,Черный,Нет,0
Сидоров Дмитрий Романович,II,Салат,Нет,Нет,Да,3,Семья,Нет,Редко,Да,Туризм,72,Да,4.521401174433763,Синий,Да,1
Васильева Вероника Антоновна,I,Суши,Нет,Нет,-,3,Путешествия,Нет,Несколько раз в неделю,Да,Кино,71,Нет,4.687132546565657,Черный,Да,1
Волкова Виктория Максимовна,III,Салат,Да,Нет,Нет,1,Бизнес,Да,Редко,Нет,Туризм,60,Да,4.37480009133684,Зеленый,Да,0
Васильева Алиса Ильинична,IV,Бургер,Да,Да,Нет,3,Семья,Нет,Редко,Да,Туризм,66,Нет,4.127467123851383,Желтый,Да,0
Михайлова Вероника Викторовна,I,Пицца,-,Да,Да,0,Наука,Нет,Несколько раз в неделю,Нет,Чтение,71,Да,4.971434994097614,Зеленый,Нет,0
Волков Георгий Андреевич,II,Салат,Нет,Нет,Нет,0,Карьерный рост,Да,Несколько раз в неделю,Да,Спортивные игры,78,Да,4.268671871805302,Синий,Нет,0
Соловьева Юлия Олеговна,II,Роллы,Да,Да,Да,4,Бизнес,Да,Редко,-,Туризм,77,Да,4.882494143873548,Черный,Да,1
Григорьев Сергей Сергеевич,IV,Бургер,Нет,Нет,Нет,1,Семья,Нет,Несколько раз в неделю,Нет,Туризм,93,-,4.363522138372176,Зеленый,Нет,0
Петрова Ольга Юрьевна,IV,Пицца,Да,Да,Да,1,Карьерный рост,Да,Ежедневно,Да,Чтение,54,Нет,4.192554068352476,Красный,Да,1
Соколова Людмила Артуровна,I,Пицца,Нет,Да,Да,2,Бизнес,Да,Несколько раз в неделю,Да,Туризм,63,-,4.078028992291739,Черный,Да,1
Петрова Дарья Сергеевна,I,Бургер,Нет,Да,Нет,3,Семья,Да,Несколько раз в неделю,Да,Кино,46,Да,4.3970130245904135,Черный,Нет,1
Соколов Виктор Олегович,II,Бургер,Да,Да,Да,2,Путешествия,Да,Ежедневно,-,Чтение,45,Да,4.040558117363492,Черный,Нет,1
Смирнов Владимир Андреевич,III,Бургер,Да,Нет,Да,1,Карьерный рост,-,Несколько раз в неделю,Нет,Спортивные игры,54,Да,4.698787741468751,Желтый,Нет,0
Смирнов Артур Алексеевич,IV,Бургер,Да,Да,Да,5,Путешествия,Нет,Ежедневно,Да,Кино,54,Да,4.259328466964497,Желтый,Да,1
Григорьев Дмитрий Алексеевич,III,Суши,-,Нет,Да,1,Бизнес,Да,Несколько раз в неделю,Да,Спортивные игры,65,Да,4.966816953632719,Желтый,Да,1
Соловьев Виктор Дмитриевич,IV,Суши,Да,Да,Да,2,Семья,Да,Редко,Да,Чтение,86,Да,4.8025070941831896,Зеленый,Нет,1
Козлов Вячеслав Дмитриевич,I,Салат,Нет,Да,Да,1,Наука,Нет,Редко,Нет,Туризм,75,Нет,4.615203993366789,Черный,Нет,0
Зайцев Артур Константинович,I,Салат,Да,Да,Нет,2,Бизнес,Да,Несколько раз в неделю,Да,Чтение,81,Да,4.161235231377384,Зеленый,Нет,1
Михайлов Олег Иванович,I,Роллы,Да,Да,-,1,Семья,Да,Ежедневно,Нет,Кино,96,Нет,4.563797835812712,Красный,Нет,1
Попова Ольга Вячеславовна,III,Бургер,Да,Да,Нет,1,Бизнес,Нет,Несколько раз в неделю,Нет,Туризм,54,Да,4.072793038669119,Зеленый,Да,0
Смирнов Георгий Андреевич,III,Бургер,Да,Да,Да,4,Путешествия,Нет,Редко,-,Туризм,90,Да,4.0763145597682175,Синий,Нет,1
Попов Андрей Егорович,II,Салат,Да,Да,Да,1,Карьерный рост,Нет,Ежедневно,Да,Чтение,95,Да,4.014467326287123,Синий,Нет,1
Васильева Светлана Владимировна,III,Роллы,Да,Нет,Да,1,Путешествия,Нет,Ежедневно,Да,Спортивные игры,57,Нет,4.737604514329124,Желтый,Да,1
Борисова Ксения Николаевна,IV,Пицца,Да,Да,-,0,Путешествия,Да,Несколько раз в неделю,Нет,Музыка,90,Нет,4.837962708296235,Желтый,Да,0
Романов Юрий Владимирович,III,Салат,Нет,Да,Да,1,Карьерный рост,Да,Несколько раз в неделю,Нет,Музыка,55,Да,4.40968897923929,Желтый,Нет,1
Петрова Алиса Дмитриевна,III,Пицца,Нет,Да,Да,3,Карьерный рост,Да,Несколько раз в неделю,Да,Чтение,42,Да,4.090397352572285,Зеленый,Да,1
Борисова Ольга Викторовна,I,Суши,Нет,Нет,Да,1,Наука,Да,Редко,Нет,Кино,50,Нет,4.990389196027153,Красный,Нет,0
Сидоров Роман Николаевич,III,Пицца,Нет,Нет,Нет,4,Наука,Нет,Редко,Нет,Музыка,54,Да,4.455062457262192,Синий,Да,0
Иванов Андрей Алексеевич,IV,Бургер,Да,Да,-,2,Путешествия,Нет,Редко,Да,Музыка,86,Нет,4.12406563157524,Красный,Да,1
Петрова Алёна Артуровна,IV,Пицца,Нет,Нет,Нет,1,Наука,Нет,Несколько раз в неделю,Да,Кино,97,Нет,4.135589076588503,Красный,Да,0
Зайцева Екатерина Ильинична,II,Роллы,Нет,Нет,Нет,3,Путешествия,Нет,Несколько раз в неделю,Да,Музыка,95,Нет,4.195773136533315,Желтый,Да,0
Козлов Алексей Артурович,II,Бургер,Нет,Нет,Нет,5,Наука,Нет,Ежедневно,Да,Туризм,79,Да,4.863603261523847,Желтый,Нет,0
Романов Антон Егорович,IV,Пицца,Да,Нет,Да,3,Наука,Да,Ежедневно,Да,Музыка,88,Нет,4.332346283358913,Желтый,Нет,1
Смирнова Алёна Максимовна,I,Роллы,Нет,Нет,-,1,Карьерный рост,Да,Редко,Нет,Туризм,49,Нет,4.159061777523623,Зеленый,Нет,0
Федорова Екатерина Николаевна,I,Бургер,-,Нет,Да,2,Карьерный рост,-,Несколько раз в неделю,Нет,Кино,46,Да,4.106680326924631,Желтый,Нет,0
Федорова Ксения Георгиевна,II,Пицца,Нет,Да,Нет,4,Наука,Да,Несколько раз в неделю,Да,Туризм,48,Нет,4.7358903644868615,Красный,Да,0
Смирнова Елена Викторовна,II,Роллы,Нет,Нет,Нет,1,Карьерный рост,Нет,Несколько раз в неделю,Да,Туризм,60,Нет,4.0471023579332375,Черный,Нет,0
Смирнова Зоя Ильинична,I,Бургер,Нет,Нет,Да,2,Путешествия,Да,Ежедневно,-,Спортивные игры,91,Да,4.049247096198682,Красный,Да,1
Иванова Полина Георгиевна,I,Пицца,Да,Да,Нет,3,Карьерный рост,Нет,Редко,Нет,Туризм,95,-,4.515140849466664,Черный,Нет,0
Морозова Анастасия Сергеевна,III,Пицца,Да,Нет,Нет,1,Бизнес,Нет,Ежедневно,Нет,Спортивные игры,86,Да,4.36366420029457,Желтый,Нет,0
Морозова Ольга Антоновна,I,Бургер,Да,Да,Нет,3,Семья,Нет,Ежедневно,-,Туризм,49,Нет,4.396619153815803,Зеленый,Нет,0
Соловьев Сергей Владимирович,II,Пицца,Да,Нет,Да,2,Наука,Да,Несколько раз в неделю,Да,Музыка,59,Да,4.936742500884416,Красный,Нет,1
Григорьева Ирина Алексеевна,I,Бургер,Нет,Да,Нет,1,Карьерный рост,Да,Несколько раз в неделю,Да,Спортивные игры,96,Нет,4.192375673959177,Желтый,Да,1
Михайлова Екатерина Антоновна,IV,Бургер,Да,Нет,Да,1,Семья,Да,Ежедневно,-,Музыка,60,Да,4.466151629513728,Желтый,Да,1
Соколова Вероника Юрьевна,I,Суши,Нет,Да,Нет,3,Семья,Да,Несколько раз в неделю,Нет,Чтение,68,Нет,4.602058620916326,Зеленый,Да,0
Сидорова Юлия Павловна,I,Роллы,Нет,Да,Нет,2,Семья,Нет,Ежедневно,Нет,Туризм,72,Нет,4.201369314748419,Желтый,Да,0
Иванов Юрий Олегович,I,Салат,Да,Нет,Нет,2,Карьерный рост,Нет,Ежедневно,Нет,Чтение,49,Нет,4.012355391806424,Черный,Да,0
Григорьев Владимир Вячеславович,IV,Салат,Нет,Да,Нет,0,Путешествия,Да,Ежедневно,Да,Чтение,66,Да,4.1294707810595614,Желтый,Нет,1
Михайлова Елена Дмитриевна,III,Роллы,Нет,Нет,Да,5,Наука,Да,Редко,Да,Спортивные игры,81,-,4.271330575013935,Желтый,Нет,1
Козлов Константин Юрьевич,IV,Пицца,Да,Да,Нет,4,Семья,Нет,Несколько раз в неделю,Нет,Туризм,55,Да,4.476162858382536,Красный,Да,0
Соколова Елена Викторовна,II,Салат,Да,Нет,Нет,2,Наука,Нет,Несколько раз в неделю,Нет,Музыка,60,Нет,4.296571859060762,Черный,Нет,0
Морозов Иван Юрьевич,III,Суши,Да,Нет,Да,0,Семья,Нет,Ежедневно,Да,Чтение,87,Да,4.4762612847711925,Красный,Да,1
Попов Константин Егорович,III,Салат,Да,Нет,Нет,0,Семья,Да,Несколько раз в неделю,Нет,Туризм,61,-,4.500028852813744,Зеленый,Да,0
Сидорова Светлана Ильинична,II,Салат,Да,Да,-,1,Наука,Нет,Редко,Нет,Кино,94,Нет,4.139659316831066,Желтый,Да,1
Борисова Валерия Максимовна,II,Роллы,Нет,Да,Да,2,Наука,Да,Ежедневно,Да,Спортивные игры,55,-,4.11708547012344,Красный,Да,1
Борисов Вячеслав Павлович,IV,Суши,Нет,Да,Да,2,Бизнес,Да,Ежедневно,Нет,Спортивные игры,67,Нет,4.992208296981832,Черный,Нет,1
Иванова Ирина Антоновна,III,Пицца,Да,-,-,4,Наука,-,Редко,Да,Спортивные игры,74,Да,4.268541223542662,Желтый,Да,1
Романова Татьяна Вячеславовна,I,Бургер,-,-,Да,1,Семья,Да,Ежедневно,Нет,Чтение,73,Нет,4.646270449916318,Черный,Да,1
Иванов Андрей Олегович,I,Бургер,Нет,Да,Нет,3,Бизнес,Нет,Ежедневно,-,Туризм,47,Нет,4.8977756253896985,Черный,Нет,0
Петров Павел Иванович,III,Роллы,Да,Да,Нет,4,Бизнес,Да,Несколько раз в неделю,Да,Туризм,67,Нет,4.921129128237962,Красный,Нет,1
Михайлов Антон Антонович,III,Бургер,Нет,Нет,Да,5,Наука,-,Редко,-,Кино,48,Да,4.4658380223518765,Желтый,Нет,0
Иванов Константин Владимирович,IV,Пицца,Нет,Нет,Да,3,Карьерный рост,Да,Несколько раз в неделю,Да,Музыка,97,Нет,4.87277164157082,Черный,Да,1
Петров Иван Романович,III,Бургер,Нет,Да,Нет,0,Наука,Да,Редко,Нет,Кино,40,Нет,4.3856217890221965,Желтый,Нет,0
Иванова Татьяна Николаевна,IV,Бургер,Нет,Нет,-,3,Путешествия,Да,Редко,Нет,Спортивные игры,42,Да,4.860162704176489,Красный,Нет,0
Романов Сергей Ильич,IV,Салат,Да,Да,Да,2,Путешествия,Нет,Ежедневно,Да,Спортивные игры,83,Да,4.231771354190934,Красный,Да,1
Соловьева Ольга Вячеславовна,II,Суши,Нет,Нет,Нет,2,Семья,Да,Несколько раз в неделю,Да,Кино,58,Да,4.877349927570726,Черный,Нет,0
Федоров Георгий Иванович,IV,Салат,Да,-,Да,2,Бизнес,-,Редко,Нет,Кино,66,Нет,4.823909677428135,Черный,Да,1
Васильев Олег Иванович,I,Пицца,Нет,Нет,Нет,3,Карьерный рост,Да,Ежедневно,Да,Кино,71,Да,4.617622817600196,Синий,Нет,0
Сидорова Зоя Олеговна,IV,Бургер,-,Нет,-,5,Семья,Нет,Ежедневно,Нет,Спортивные игры,72,Да,4.310484032528319,Желтый,Да,0
Иванов Владимир Юрьевич,I,Пицца,Да,-,Да,4,Карьерный рост,Нет,Редко,-,Туризм,58,Да,4.999271517181304,Зеленый,Да,1
Попова Екатерина Константиновна,II,Пицца,Нет,-,Да,5,Наука,Да,Ежедневно,Да,Туризм,48,Да,4.584177456002955,Зеленый,Да,1
Иванов Алексей Андреевич,III,Бургер,-,Нет,Да,4,Карьерный рост,Да,Ежедневно,Да,Музыка,46,Нет,4.806408454292118,Черный,Да,1
Волкова Валерия Антоновна,I,Бургер,Нет,Да,-,0,Путешествия,Да,Редко,Нет,Чтение,69,Нет,4.267002124304742,Черный,Нет,0
Васильев Николай Владимирович,III,Суши,-,Нет,Нет,1,Путешествия,Нет,Несколько раз в неделю,Нет,Чтение,90,Да,4.643230160001533,Желтый,Нет,0
Сидорова Полина Олеговна,IV,Суши,Да,Да,Нет,2,Бизнес,Да,Ежедневно,Нет,Спортивные игры,57,Да,4.295616989714608,Черный,Нет,0
Борисова Анастасия Ивановна,IV,Бургер,Да,Да,Нет,2,Бизнес,Нет,Несколько раз в неделю,Да,Музыка,73,Нет,4.568994337907243,Зеленый,Да,1
Борисова Алёна Вячеславовна,IV,Пицца,Нет,Нет,Да,2,Путешествия,-,Ежедневно,Да,Чтение,44,-,4.474224209997199,Зеленый,Нет,1
Петрова Алиса Артуровна,IV,Суши,Нет,Нет,Да,5,Семья,Нет,Ежедневно,Да,Спортивные игры,57,Да,4.445889255780972,Синий,Да,1
Волков Андрей Николаевич,II,Салат,Нет,Да,Нет,0,Наука,Нет,Несколько раз в неделю,Нет,Спортивные игры,86,Да,4.667244933265875,Зеленый,Да,0
Федоров Юрий Юрьевич,I,Бургер,-,-,Да,5,Карьерный рост,Нет,Редко,-,Чтение,91,Да,4.045004851219847,Черный,Да,1
Григорьева Мария Артуровна,II,Роллы,-,Да,Нет,5,Бизнес,Да,Несколько раз в неделю,Нет,Музыка,63,Да,4.869148378978919,Зеленый,Нет,1
Григорьева Ольга Дмитриевна,IV,Суши,Нет,Да,Нет,3,Бизнес,Да,Редко,Нет,Чтение,73,Нет,4.621669949240628,Зеленый,Нет,0
Григорьев Олег Олегович,III,Суши,Нет,Нет,-,1,Семья,Нет,Несколько раз в неделю,Нет,Чтение,57,Да,4.459367565505857,Красный,Да,0
Федоров Алексей Егорович,III,Суши,Нет,Да,Да,2,Наука,Нет,Ежедневно,Нет,Спортивные игры,61,Нет,4.955782147153732,Желтый,Да,0
Федоров Олег Юрьевич,II,Роллы,Да,Нет,Да,3,Бизнес,Да,Редко,Нет,Кино,83,Нет,4.856534639008712,Красный,Да,1
Морозова Виктория Юрьевна,I,Пицца,Нет,Нет,Нет,0,Карьерный рост,Да,Ежедневно,Да,Спортивные игры,78,Да,4.408182891047185,Красный,Да,0
